t,agent_id,digit,x,y,z,brightness,role,model
0.0,72,2,2.923,0.0813,120.0,0.0,follower,RL-PPO
0.0,73,2,3.0778,0.0807,120.0,0.0,follower,Classical-MPC
0.0,74,2,3.2304,0.0802,120.0,0.0,follower,RL-PPO
0.0,75,2,3.4187,0.0796,120.0,0.0,follower,DL-Transformer (coord)
0.0,76,5,3.8315,0.9211,120.0,0.0,follower,RL-PPO
0.0,77,5,3.9841,0.9189,120.0,0.0,follower,DL-CNN (vision)
0.0,78,5,4.1362,0.9189,120.0,0.0,follower,DL-CNN (vision)
0.0,79,5,4.2891,0.9195,120.0,0.0,follower,RL-SAC
0.0,80,5,4.4395,0.9193,120.0,0.0,follower,DL-Transformer (coord)
0.0,81,5,4.5938,0.9207,120.0,0.0,follower,DL-Transformer (coord)
0.0,82,5,3.8292,0.5294,120.0,0.0,follower,DL-CNN (vision)
0.0,83,5,3.8301,0.6396,120.0,0.0,follower,IL-BC (behavior cloning)
0.0,84,5,3.8307,0.7799,120.0,0.0,follower,RL-PPO
0.0,85,5,3.8297,0.8923,120.0,0.0,edge-relay,RL-SAC
0.0,86,5,3.9061,0.5013,120.0,0.0,follower,DL-CNN (vision)
0.0,87,5,4.0602,0.4987,120.0,0.0,follower,DL-CNN (vision)
0.0,88,5,4.2125,0.4999,120.0,0.0,follower,RL-SAC
0.0,89,5,4.3643,0.5003,120.0,0.0,edge-relay,Classical-MPC
0.0,90,5,4.5163,0.5008,120.0,0.0,follower,Classical-MPC
0.0,91,5,4.6686,0.4999,120.0,0.0,edge-relay,RL-PPO
0.0,92,5,4.6714,0.1989,120.0,0.0,safety-sentry,DL-CNN (vision)
0.0,93,5,4.6708,0.3189,120.0,0.0,leader,RL-SAC
0.0,94,5,4.6709,0.4395,120.0,0.0,edge-relay,DL-CNN (vision)
0.0,95,5,3.8673,0.0814,120.0,0.0,follower,RL-SAC
0.0,96,5,4.021,0.0796,120.0,0.0,follower,DL-Transformer (coord)
0.0,97,5,4.1739,0.0797,120.0,0.0,edge-relay,Classical-MPC
0.0,98,5,4.327,0.0805,120.0,0.0,follower,DL-CNN (vision)
0.0,99,5,4.4793,0.079,120.0,0.0,follower,DL-Transformer (coord)
0.0,100,5,4.6686,0.0799,120.0,0.0,follower,DL-Transformer (coord)
0.04,1,2,0.0813,0.9187,120.0,0.06666666666666667,leader,RL-PPO
0.04,2,2,0.2315,0.9204,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,3,2,0.3866,0.921,120.0,0.06666666666666667,follower,Classical-MPC
0.04,4,2,0.5369,0.92,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,5,2,0.6921,0.9208,120.0,0.06666666666666667,safety-sentry,DL-Transformer (coord)
0.04,6,2,0.8447,0.9201,120.0,0.06666666666666667,follower,IL-BC (behavior cloning)
0.04,7,2,0.9213,0.5266,120.0,0.06666666666666667,follower,Classical-MPC
0.04,8,2,0.92,0.6404,120.0,0.06666666666666667,leader,IL-BC (behavior cloning)
0.04,9,2,0.9208,0.7786,120.0,0.06666666666666667,follower,RL-PPO
0.04,10,2,0.9189,0.8922,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,11,2,0.1551,0.4989,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,12,2,0.3079,0.4986,120.0,0.06666666666666667,edge-relay,RL-PPO
0.04,13,2,0.4626,0.4986,120.0,0.06666666666666667,follower,DL-Transformer (coord)
0.04,14,2,0.6135,0.5002,120.0,0.06666666666666667,leader,DL-Transformer (coord)
0.04,15,2,0.7664,0.5005,120.0,0.06666666666666667,follower,Classical-MPC
0.04,16,2,0.9187,0.4996,120.0,0.06666666666666667,safety-sentry,Classical-MPC
0.04,17,2,0.0788,0.2004,120.0,0.06666666666666667,follower,RL-PPO
0.04,18,2,0.0811,0.321,120.0,0.06666666666666667,follower,RL-SAC
0.04,19,2,0.0787,0.44,120.0,0.06666666666666667,safety-sentry,DL-Transformer (coord)
0.04,20,2,0.1195,0.0786,120.0,0.06666666666666667,leader,RL-PPO
0.04,21,2,0.2709,0.0804,120.0,0.06666666666666667,follower,RL-SAC
0.04,22,2,0.423,0.0813,120.0,0.06666666666666667,safety-sentry,DL-Transformer (coord)
0.04,23,2,0.5778,0.0807,120.0,0.06666666666666667,follower,RL-PPO
0.04,24,2,0.7304,0.0802,120.0,0.06666666666666667,follower,IL-BC (behavior cloning)
0.04,25,2,0.9187,0.0796,120.0,0.06666666666666667,safety-sentry,Classical-MPC
0.04,26,0,1.3309,0.9202,120.0,0.06666666666666667,follower,RL-PPO
0.04,27,0,1.4976,0.9209,120.0,0.06666666666666667,follower,DL-Transformer (coord)
0.04,28,0,1.6666,0.919,120.0,0.06666666666666667,follower,IL-BC (behavior cloning)
0.04,29,0,1.8331,0.9208,120.0,0.06666666666666667,follower,Classical-MPC
0.04,30,0,2.0029,0.9191,120.0,0.06666666666666667,follower,RL-SAC
0.04,31,0,2.1691000000000003,0.9204,120.0,0.06666666666666667,follower,RL-PPO
0.04,32,0,2.1709,0.5888,120.0,0.06666666666666667,follower,Classical-MPC
0.04,33,0,2.1711,0.7114,120.0,0.06666666666666667,follower,Classical-MPC
0.04,34,0,2.1691000000000003,0.8608,120.0,0.06666666666666667,follower,RL-SAC
0.04,35,0,2.1692,0.1118,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,36,0,2.1708,0.2419,120.0,0.06666666666666667,edge-relay,IL-BC (behavior cloning)
0.04,37,0,2.1711,0.3698,120.0,0.06666666666666667,follower,Classical-MPC
0.04,38,0,2.1687,0.4997,120.0,0.06666666666666667,follower,RL-PPO
0.04,39,0,1.4569,0.0788,120.0,0.06666666666666667,follower,DL-Transformer (coord)
0.04,40,0,1.6251,0.0814,120.0,0.06666666666666667,follower,Classical-MPC
0.04,41,0,1.7917,0.0788,120.0,0.06666666666666667,follower,DL-Transformer (coord)
0.04,42,0,2.0029,0.0791,120.0,0.06666666666666667,follower,RL-PPO
0.04,43,0,2.1691000000000003,0.0804,120.0,0.06666666666666667,follower,RL-PPO
0.04,44,0,1.3309,0.1757,120.0,0.06666666666666667,follower,RL-SAC
0.04,45,0,1.3311,0.3076,120.0,0.06666666666666667,follower,Classical-MPC
0.04,46,0,1.3296999999999999,0.4342,120.0,0.06666666666666667,follower,RL-PPO
0.04,47,0,1.3292,0.5295,120.0,0.06666666666666667,follower,RL-PPO
0.04,48,0,1.3308,0.6503,120.0,0.06666666666666667,safety-sentry,DL-CNN (vision)
0.04,49,0,1.3311,0.769,120.0,0.06666666666666667,follower,RL-PPO
0.04,50,0,1.3285,0.9199,120.0,0.06666666666666667,follower,RL-PPO
0.04,51,2,2.5813,0.9187,120.0,0.06666666666666667,follower,RL-PPO
0.04,52,2,2.7315,0.9204,120.0,0.06666666666666667,follower,DL-Transformer (coord)
0.04,53,2,2.8866,0.921,120.0,0.06666666666666667,follower,IL-BC (behavior cloning)
0.04,54,2,3.0369,0.92,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,55,2,3.1921,0.9208,120.0,0.06666666666666667,follower,RL-PPO
0.04,56,2,3.3447,0.9201,120.0,0.06666666666666667,leader,DL-CNN (vision)
0.04,57,2,3.4213,0.5266,120.0,0.06666666666666667,follower,DL-Transformer (coord)
0.04,58,2,3.42,0.6404,120.0,0.06666666666666667,follower,Classical-MPC
0.04,59,2,3.4208,0.7786,120.0,0.06666666666666667,follower,Classical-MPC
0.04,60,2,3.4189,0.8922,120.0,0.06666666666666667,follower,RL-SAC
0.04,61,2,2.6551,0.4989,120.0,0.06666666666666667,safety-sentry,RL-PPO
0.04,62,2,2.8079,0.4986,120.0,0.06666666666666667,follower,Classical-MPC
0.04,63,2,2.9626,0.4986,120.0,0.06666666666666667,leader,Classical-MPC
0.04,64,2,3.1135,0.5002,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,65,2,3.2664,0.5005,120.0,0.06666666666666667,follower,IL-BC (behavior cloning)
0.04,66,2,3.4187,0.4996,120.0,0.06666666666666667,follower,Classical-MPC
0.04,67,2,2.5788,0.2004,120.0,0.06666666666666667,safety-sentry,DL-Transformer (coord)
0.04,68,2,2.5811,0.321,120.0,0.06666666666666667,safety-sentry,Classical-MPC
0.04,69,2,2.5787,0.44,120.0,0.06666666666666667,edge-relay,RL-PPO
0.04,70,2,2.6195,0.0786,120.0,0.06666666666666667,follower,RL-SAC
0.04,71,2,2.7709,0.0804,120.0,0.06666666666666667,edge-relay,RL-SAC
0.04,72,2,2.923,0.0813,120.0,0.06666666666666667,follower,RL-PPO
0.04,73,2,3.0778,0.0807,120.0,0.06666666666666667,follower,Classical-MPC
0.04,74,2,3.2304,0.0802,120.0,0.06666666666666667,follower,RL-PPO
0.04,75,2,3.4187,0.0796,120.0,0.06666666666666667,follower,DL-Transformer (coord)
0.04,76,5,3.8315,0.9211,120.0,0.06666666666666667,follower,RL-PPO
0.04,77,5,3.9841,0.9189,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,78,5,4.1362,0.9189,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,79,5,4.2891,0.9195,120.0,0.06666666666666667,follower,RL-SAC
0.04,80,5,4.4395,0.9193,120.0,0.06666666666666667,follower,DL-Transformer (coord)
0.04,81,5,4.5938,0.9207,120.0,0.06666666666666667,follower,DL-Transformer (coord)
0.04,82,5,3.8292,0.5294,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,83,5,3.8301,0.6396,120.0,0.06666666666666667,follower,IL-BC (behavior cloning)
0.04,84,5,3.8307,0.7799,120.0,0.06666666666666667,follower,RL-PPO
0.04,85,5,3.8297,0.8923,120.0,0.06666666666666667,edge-relay,RL-SAC
0.04,86,5,3.9061,0.5013,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,87,5,4.0602,0.4987,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,88,5,4.2125,0.4999,120.0,0.06666666666666667,follower,RL-SAC
0.04,89,5,4.3643,0.5003,120.0,0.06666666666666667,edge-relay,Classical-MPC
0.04,90,5,4.5163,0.5008,120.0,0.06666666666666667,follower,Classical-MPC
0.04,91,5,4.6686,0.4999,120.0,0.06666666666666667,edge-relay,RL-PPO
0.04,92,5,4.6714,0.1989,120.0,0.06666666666666667,safety-sentry,DL-CNN (vision)
0.04,93,5,4.6708,0.3189,120.0,0.06666666666666667,leader,RL-SAC
0.04,94,5,4.6709,0.4395,120.0,0.06666666666666667,edge-relay,DL-CNN (vision)
0.04,95,5,3.8673,0.0814,120.0,0.06666666666666667,follower,RL-SAC
0.04,96,5,4.021,0.0796,120.0,0.06666666666666667,follower,DL-Transformer (coord)
0.04,97,5,4.1739,0.0797,120.0,0.06666666666666667,edge-relay,Classical-MPC
0.04,98,5,4.327,0.0805,120.0,0.06666666666666667,follower,DL-CNN (vision)
0.04,99,5,4.4793,0.079,120.0,0.06666666666666667,follower,DL-Transformer (coord)
0.04,100,5,4.6686,0.0799,120.0,0.06666666666666667,follower,DL-Transformer (coord)
0.08,1,2,0.0813,0.9187,120.0,0.13333333333333333,leader,RL-PPO
0.08,2,2,0.2315,0.9204,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,3,2,0.3866,0.921,120.0,0.13333333333333333,follower,Classical-MPC
0.08,4,2,0.5369,0.92,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,5,2,0.6921,0.9208,120.0,0.13333333333333333,safety-sentry,DL-Transformer (coord)
0.08,6,2,0.8447,0.9201,120.0,0.13333333333333333,follower,IL-BC (behavior cloning)
0.08,7,2,0.9213,0.5266,120.0,0.13333333333333333,follower,Classical-MPC
0.08,8,2,0.92,0.6404,120.0,0.13333333333333333,leader,IL-BC (behavior cloning)
0.08,9,2,0.9208,0.7786,120.0,0.13333333333333333,follower,RL-PPO
0.08,10,2,0.9189,0.8922,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,11,2,0.1551,0.4989,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,12,2,0.3079,0.4986,120.0,0.13333333333333333,edge-relay,RL-PPO
0.08,13,2,0.4626,0.4986,120.0,0.13333333333333333,follower,DL-Transformer (coord)
0.08,14,2,0.6135,0.5002,120.0,0.13333333333333333,leader,DL-Transformer (coord)
0.08,15,2,0.7664,0.5005,120.0,0.13333333333333333,follower,Classical-MPC
0.08,16,2,0.9187,0.4996,120.0,0.13333333333333333,safety-sentry,Classical-MPC
0.08,17,2,0.0788,0.2004,120.0,0.13333333333333333,follower,RL-PPO
0.08,18,2,0.0811,0.321,120.0,0.13333333333333333,follower,RL-SAC
0.08,19,2,0.0787,0.44,120.0,0.13333333333333333,safety-sentry,DL-Transformer (coord)
0.08,20,2,0.1195,0.0786,120.0,0.13333333333333333,leader,RL-PPO
0.08,21,2,0.2709,0.0804,120.0,0.13333333333333333,follower,RL-SAC
0.08,22,2,0.423,0.0813,120.0,0.13333333333333333,safety-sentry,DL-Transformer (coord)
0.08,23,2,0.5778,0.0807,120.0,0.13333333333333333,follower,RL-PPO
0.08,24,2,0.7304,0.0802,120.0,0.13333333333333333,follower,IL-BC (behavior cloning)
0.08,25,2,0.9187,0.0796,120.0,0.13333333333333333,safety-sentry,Classical-MPC
0.08,26,0,1.3309,0.9202,120.0,0.13333333333333333,follower,RL-PPO
0.08,27,0,1.4976,0.9209,120.0,0.13333333333333333,follower,DL-Transformer (coord)
0.08,28,0,1.6666,0.919,120.0,0.13333333333333333,follower,IL-BC (behavior cloning)
0.08,29,0,1.8331,0.9208,120.0,0.13333333333333333,follower,Classical-MPC
0.08,30,0,2.0029,0.9191,120.0,0.13333333333333333,follower,RL-SAC
0.08,31,0,2.1691000000000003,0.9204,120.0,0.13333333333333333,follower,RL-PPO
0.08,32,0,2.1709,0.5888,120.0,0.13333333333333333,follower,Classical-MPC
0.08,33,0,2.1711,0.7114,120.0,0.13333333333333333,follower,Classical-MPC
0.08,34,0,2.1691000000000003,0.8608,120.0,0.13333333333333333,follower,RL-SAC
0.08,35,0,2.1692,0.1118,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,36,0,2.1708,0.2419,120.0,0.13333333333333333,edge-relay,IL-BC (behavior cloning)
0.08,37,0,2.1711,0.3698,120.0,0.13333333333333333,follower,Classical-MPC
0.08,38,0,2.1687,0.4997,120.0,0.13333333333333333,follower,RL-PPO
0.08,39,0,1.4569,0.0788,120.0,0.13333333333333333,follower,DL-Transformer (coord)
0.08,40,0,1.6251,0.0814,120.0,0.13333333333333333,follower,Classical-MPC
0.08,41,0,1.7917,0.0788,120.0,0.13333333333333333,follower,DL-Transformer (coord)
0.08,42,0,2.0029,0.0791,120.0,0.13333333333333333,follower,RL-PPO
0.08,43,0,2.1691000000000003,0.0804,120.0,0.13333333333333333,follower,RL-PPO
0.08,44,0,1.3309,0.1757,120.0,0.13333333333333333,follower,RL-SAC
0.08,45,0,1.3311,0.3076,120.0,0.13333333333333333,follower,Classical-MPC
0.08,46,0,1.3296999999999999,0.4342,120.0,0.13333333333333333,follower,RL-PPO
0.08,47,0,1.3292,0.5295,120.0,0.13333333333333333,follower,RL-PPO
0.08,48,0,1.3308,0.6503,120.0,0.13333333333333333,safety-sentry,DL-CNN (vision)
0.08,49,0,1.3311,0.769,120.0,0.13333333333333333,follower,RL-PPO
0.08,50,0,1.3285,0.9199,120.0,0.13333333333333333,follower,RL-PPO
0.08,51,2,2.5813,0.9187,120.0,0.13333333333333333,follower,RL-PPO
0.08,52,2,2.7315,0.9204,120.0,0.13333333333333333,follower,DL-Transformer (coord)
0.08,53,2,2.8866,0.921,120.0,0.13333333333333333,follower,IL-BC (behavior cloning)
0.08,54,2,3.0369,0.92,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,55,2,3.1921,0.9208,120.0,0.13333333333333333,follower,RL-PPO
0.08,56,2,3.3447,0.9201,120.0,0.13333333333333333,leader,DL-CNN (vision)
0.08,57,2,3.4213,0.5266,120.0,0.13333333333333333,follower,DL-Transformer (coord)
0.08,58,2,3.42,0.6404,120.0,0.13333333333333333,follower,Classical-MPC
0.08,59,2,3.4208,0.7786,120.0,0.13333333333333333,follower,Classical-MPC
0.08,60,2,3.4189,0.8922,120.0,0.13333333333333333,follower,RL-SAC
0.08,61,2,2.6551,0.4989,120.0,0.13333333333333333,safety-sentry,RL-PPO
0.08,62,2,2.8079,0.4986,120.0,0.13333333333333333,follower,Classical-MPC
0.08,63,2,2.9626,0.4986,120.0,0.13333333333333333,leader,Classical-MPC
0.08,64,2,3.1135,0.5002,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,65,2,3.2664,0.5005,120.0,0.13333333333333333,follower,IL-BC (behavior cloning)
0.08,66,2,3.4187,0.4996,120.0,0.13333333333333333,follower,Classical-MPC
0.08,67,2,2.5788,0.2004,120.0,0.13333333333333333,safety-sentry,DL-Transformer (coord)
0.08,68,2,2.5811,0.321,120.0,0.13333333333333333,safety-sentry,Classical-MPC
0.08,69,2,2.5787,0.44,120.0,0.13333333333333333,edge-relay,RL-PPO
0.08,70,2,2.6195,0.0786,120.0,0.13333333333333333,follower,RL-SAC
0.08,71,2,2.7709,0.0804,120.0,0.13333333333333333,edge-relay,RL-SAC
0.08,72,2,2.923,0.0813,120.0,0.13333333333333333,follower,RL-PPO
0.08,73,2,3.0778,0.0807,120.0,0.13333333333333333,follower,Classical-MPC
0.08,74,2,3.2304,0.0802,120.0,0.13333333333333333,follower,RL-PPO
0.08,75,2,3.4187,0.0796,120.0,0.13333333333333333,follower,DL-Transformer (coord)
0.08,76,5,3.8315,0.9211,120.0,0.13333333333333333,follower,RL-PPO
0.08,77,5,3.9841,0.9189,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,78,5,4.1362,0.9189,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,79,5,4.2891,0.9195,120.0,0.13333333333333333,follower,RL-SAC
0.08,80,5,4.4395,0.9193,120.0,0.13333333333333333,follower,DL-Transformer (coord)
0.08,81,5,4.5938,0.9207,120.0,0.13333333333333333,follower,DL-Transformer (coord)
0.08,82,5,3.8292,0.5294,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,83,5,3.8301,0.6396,120.0,0.13333333333333333,follower,IL-BC (behavior cloning)
0.08,84,5,3.8307,0.7799,120.0,0.13333333333333333,follower,RL-PPO
0.08,85,5,3.8297,0.8923,120.0,0.13333333333333333,edge-relay,RL-SAC
0.08,86,5,3.9061,0.5013,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,87,5,4.0602,0.4987,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,88,5,4.2125,0.4999,120.0,0.13333333333333333,follower,RL-SAC
0.08,89,5,4.3643,0.5003,120.0,0.13333333333333333,edge-relay,Classical-MPC
0.08,90,5,4.5163,0.5008,120.0,0.13333333333333333,follower,Classical-MPC
0.08,91,5,4.6686,0.4999,120.0,0.13333333333333333,edge-relay,RL-PPO
0.08,92,5,4.6714,0.1989,120.0,0.13333333333333333,safety-sentry,DL-CNN (vision)
0.08,93,5,4.6708,0.3189,120.0,0.13333333333333333,leader,RL-SAC
0.08,94,5,4.6709,0.4395,120.0,0.13333333333333333,edge-relay,DL-CNN (vision)
0.08,95,5,3.8673,0.0814,120.0,0.13333333333333333,follower,RL-SAC
0.08,96,5,4.021,0.0796,120.0,0.13333333333333333,follower,DL-Transformer (coord)
0.08,97,5,4.1739,0.0797,120.0,0.13333333333333333,edge-relay,Classical-MPC
0.08,98,5,4.327,0.0805,120.0,0.13333333333333333,follower,DL-CNN (vision)
0.08,99,5,4.4793,0.079,120.0,0.13333333333333333,follower,DL-Transformer (coord)
0.08,100,5,4.6686,0.0799,120.0,0.13333333333333333,follower,DL-Transformer (coord)
0.12,1,2,0.0813,0.9187,120.0,0.19999999999999998,leader,RL-PPO
0.12,2,2,0.2315,0.9204,120.0,0.19999999999999998,follower,DL-CNN (vision)
0.12,3,2,0.3866,0.921,120.0,0.19999999999999998,follower,Classical-MPC
0.12,4,2,0.5369,0.92,120.0,0.19999999999999998,follower,DL-CNN (vision)
0.12,5,2,0.6921,0.9208,120.0,0.19999999999999998,safety-sentry,DL-Transformer (coord)
0.12,6,2,0.8447,0.9201,120.0,0.19999999999999998,follower,IL-BC (behavior cloning)
0.12,7,2,0.9213,0.5266,120.0,0.19999999999999998,follower,Classical-MPC
0.12,8,2,0.92,0.6404,120.0,0.19999999999999998,leader,IL-BC (behavior cloning)
0.12,9,2,0.9208,0.7786,120.0,0.19999999999999998,follower,RL-PPO
0.12,10,2,0.9189,0.8922,120.0,0.19999999999999998,follower,DL-CNN (vision)
0.12,11,2,0.1551,0.4989,120.0,0.19999999999999998,follower,DL-CNN (vision)
0.12,12,2,0.3079,0.4986,120.0,0.19999999999999998,edge-relay,RL-PPO
0.12,13,2,0.4626,0.4986,120.0,0.19999999999999998,follower,DL-Transformer (coord)
0.12,14,2,0.6135,0.5002,120.0,0.19999999999999998,leader,DL-Transformer (coord)
0.12,15,2,0.7664,0.5005,120.0,0.19999999999999998,follower,Classical-MPC
0.12,16,2,0.9187,0.4996,120.0,0.19999999999999998,safety-sentry,Classical-MPC
0.12,17,2,0.0788,0.2004,120.0,0.19999999999999998,follower,RL-PPO
0.12,18,2,0.0811,0.321,120.0,0.19999999999999998,follower,RL-SAC
0.12,19,2,0.0787,0.44,120.0,0.19999999999999998,safety-sentry,DL-Transformer (coord)
0.12,20,2,0.1195,0.0786,120.0,0.19999999999999998,leader,RL-PPO
0.12,21,2,0.2709,0.0804,120.0,0.19999999999999998,follower,RL-SAC
0.12,22,2,0.423,0.0813,120.0,0.19999999999999998,safety-sentry,DL-Transformer (coord)
0.12,23,2,0.5778,0.0807,120.0,0.19999999999999998,follower,RL-PPO
0.12,24,2,0.7304,0.0802,120.0,0.19999999999999998,follower,IL-BC (behavior cloning)
0.12,25,2,0.9187,0.0796,120.0,0.19999999999999998,safety-sentry,Classical-MPC
0.12,26,0,1.3309,0.9202,120.0,0.19999999999999998,follower,RL-PPO
0.12,27,0,1.4976,0.9209,120.0,0.19999999999999998,follower,DL-Transformer (coord)
0.12,28,0,1.6666,0.919,120.0,0.19999999999999998,follower,IL-BC (behavior cloning)
